Make;Model;Vehicle Class;Engine Size(L);Cylinders;Transmission;Fuel Type;Fuel Consumption City (L/100 km);Fuel Consumption Hwy (L/100 km);Fuel Consumption Comb (L/100 km);Fuel Consumption Comb (mpg);CO2 Emissions(g/km)
AUDI;S6;MID-SIZE;4;8;A7;Z;14. Feb;09. Jul;12. Feb;23;281
AUDI;S7;MID-SIZE;4;8;A7;Z;14. Feb;09. Jul;12. Feb;23;281
AUDI;S8;MID-SIZE;4;8;AS8;Z;15. Aug;09. Feb;12. Aug;22;300
AUDI;SQ5;SUV - SMALL;3;6;AS8;Z;14. Sep;10. Jan;12. Jul;22;292
AUDI;TT COUPE QUATTRO;SUBCOMPACT;2;4;A6;Z;10. Apr;07. Jun;09. Jan;31;209
AUDI;TT ROADSTER QUATTRO;TWO-SEATER;2;4;A6;Z;10. Apr;07. Jun;09. Jan;31;209
AUDI;TTS COUPE QUATTRO;SUBCOMPACT;2;4;A6;Z;11. May;08. Aug;10. Mar;27;237
AUDI;TTS ROADSTER QUATTRO;TWO-SEATER;2;4;A6;Z;11. May;08. Aug;10. Mar;27;237
BENTLEY;CONTINENTAL GT;SUBCOMPACT;4;8;AS8;Z;16. Mar;09. Aug;13. Apr;21;314
BENTLEY;CONTINENTAL GT;SUBCOMPACT;6;12;AS8;Z;18. Aug;11. May;15. May;18;356
BENTLEY;CONTINENTAL GTC;SUBCOMPACT;4;8;AS8;Z;17. Apr;10. Feb;14. Feb;20;332
BENTLEY;CONTINENTAL GTC;SUBCOMPACT;6;12;AS8;Z;20;12. Feb;16. May;17;380
BENTLEY;CONTINENTAL GT SPEED CONVERTIBLE;SUBCOMPACT;6;12;AS8;Z;20;12. Feb;16. May;17;380
BENTLEY;FLYING SPUR;MID-SIZE;6;12;AS8;Z;20. Mar;11. Sep;16. May;17;388
BENTLEY;MULSANNE;MID-SIZE;06. Aug;8;AS8;Z;22. Mar;14. Sep;19;15;437
BMW;320i;COMPACT;2;4;A8;Z;10;06. May;08. Apr;34;193
BMW;320i;COMPACT;2;4;M6;Z;10. Apr;06. Jul;08. Jul;32;200
BMW; xDRIVE;COMPACT;2;4;A8;Z;10. Feb;7;08. Aug;32;202
BMW;328d xDRIVE;COMPACT;2;4;A8;D;07. Jun;05. May;06. Jul;42;181
BMW;328d xDRIVE TOURING;STATION WAGON - SMALL;2;4;A8;D;07. Jun;05. May;06. Jul;42;181
BMW;328i;COMPACT;2;4;A8;Z;10;06. May;08. Apr;34;193
BMW;328i;COMPACT;2;4;M6;Z;10. Apr;06. Jul;08. Jul;32;200
BMW;328i xDRIVE;COMPACT;2;4;A8;Z;10. Jun;07. Feb;09. Jan;31;209
BMW;328i xDRIVE GRAN TURISMO;FULL-SIZE;2;4;A8;Z;10. Jun;07. Feb;09. Jan;31;209
BMW;328i xDRIVE TOURING;STATION WAGON - SMALL;2;4;A8;Z;10. Jun;07. Feb;09. Jan;31;209
BMW;335i;COMPACT;3;6;A8;Z;11. Apr;07. Mar;09. Jun;29;221
BMW;335i;COMPACT;3;6;M6;Z;11. Aug;07. Sep;10;28;230
BMW;335i xDRIVE;COMPACT;3;6;A8;Z;11. Jul;07. Aug;09. Sep;29;228
BMW;335i xDRIVE;COMPACT;3;6;M6;Z;11. Sep;08. Mar;10. Mar;27;237
BMW;335i xDRIVE GRAN TURISMO;FULL-SIZE;3;6;A8;Z;11. Sep;8;10. Jan;28;232
BMW;428i COUPE;COMPACT;2;4;A8;Z;10;06. May;08. Apr;34;193
BMW;428i COUPE;COMPACT;2;4;M6;Z;10. Apr;06. Jul;08. Jul;32;200
BMW;428i xDRIVE COUPE;COMPACT;2;4;A8;Z;10. Jun;07. Feb;09. Jan;31;209
BMW;435i COUPE;COMPACT;3;6;A8;Z;11. Apr;07. Mar;09. Jun;29;221
BMW;435i COUPE;COMPACT;3;6;M6;Z;11. Aug;07. Sep;10;28;230
BMW;435i xDRIVE COUPE;COMPACT;3;6;A8;Z;11. Jul;07. Aug;09. Sep;29;228
BMW;435i xDRIVE COUPE;COMPACT;3;6;M6;Z;11. Sep;08. Mar;10. Mar;27;237
BMW;528i;MID-SIZE;2;4;A8;Z;10. Feb;7;08. Aug;32;202
BMW;528i xDRIVE;MID-SIZE;2;4;A8;Z;10. Jun;07. Feb;09. Jan;31;209
BMW;535d xDRIVE;MID-SIZE;3;6;A8;D;09. Feb;06. Apr;07. Sep;36;213
BMW;535i xDRIVE;MID-SIZE;3;6;A8;Z;11. Sep;8;10. Jan;28;232
BMW;535i xDRIVE GRAN TURISMO;FULL-SIZE;3;6;A8;Z;12. May;08. Jun;10. Jul;26;246
BMW;550i xDRIVE;MID-SIZE;04. Apr;8;A8;Z;14. Apr;09. Jun;12. Feb;23;281
BMW;550i xDRIVE GRAN TURISMO;FULL-SIZE;04. Apr;8;A8;Z;15;09. Aug;12. Jul;22;292
BMW;640i xDRIVE GRAN COUPE;COMPACT;3;6;A8;Z;11. Sep;8;10. Jan;28;232
BMW;650i xDRIVE CABRIOLET;SUBCOMPACT;04. Apr;8;A8;Z;15;09. Aug;12. Jul;22;292
BMW;650i xDRIVE COUPE;COMPACT;04. Apr;8;A8;Z;14. Apr;09. Jun;12. Feb;23;281
BMW;650i xDRIVE GRAN COUPE;COMPACT;04. Apr;8;A8;Z;15;09. Aug;12. Jul;22;292
BMW;740Li xDRIVE;FULL-SIZE;3;6;A8;Z;12. May;08. Jun;10. Jul;26;246
BMW;750i xDRIVE;FULL-SIZE;04. Apr;8;A8;Z;15;09. Aug;12. Jul;22;292
BMW;750Li xDRIVE;FULL-SIZE;04. Apr;8;A8;Z;15;09. Aug;12. Jul;22;292
BMW;;FULL-SIZE;6;12;A8;Z;18. Jul;11. May;15. May;18;356
BMW;ACTIVEHYBRID 3;COMPACT;3;6;A8;Z;09. Feb;07. Jan;08. Mar;34;191
BMW;ACTIVEHYBRID 5;MID-SIZE;3;6;A8;Z;10. May;07. Sep;09. Mar;30;214
BMW;ACTIVEHYBRID 7L;FULL-SIZE;3;6;A8;Z;10. May;07. Jun;09. Feb;31;212
BMW;ALPINA B7 xDRIVE LWB;FULL-SIZE;04. Apr;8;A8;Z;15;09. Aug;12. Jul;22;292
BMW;ALPINA B7 xDRIVE SWB;FULL-SIZE;04. Apr;8;A8;Z;15;09. Aug;12. Jul;22;292
BMW;M5;MID-SIZE;04. Apr;8;AM7;Z;17. Mar;11. May;14. Jul;19;338
BMW;M5;MID-SIZE;04. Apr;8;M6;Z;16. Feb;10. Sep;13. Aug;20;317
BMW;M6;COMPACT;04. Apr;8;AM7;Z;17. Mar;11. May;14. Jul;19;338
BMW;M6;COMPACT;04. Apr;8;M6;Z;16. Feb;10. Sep;13. Aug;20;317
BMW;M6 CABRIOLET;SUBCOMPACT;04. Apr;8;AM7;Z;17. Mar;11. May;14. Jul;19;338
BMW;M6 CABRIOLET;SUBCOMPACT;04. Apr;8;M6;Z;16. Feb;10. Sep;13. Aug;20;317
BMW;M6 GRAN COUPE;COMPACT;04. Apr;8;AM7;Z;17. Mar;11. May;14. Jul;19;338
BMW;M6 GRAN COUPE;COMPACT;04. Apr;8;M6;Z;16. Feb;10. Sep;13. Aug;20;317
BMW;X1 xDRIVE28i;SUV - SMALL;2;4;A8;Z;10. Jun;07. Feb;09. Jan;31;209
BMW;X1 xDRIVE35i;SUV - SMALL;3;6;A6;Z;13. Feb;08. Sep;11. Mar;25;260
BMW;X3 xDRIVE28i;SUV - SMALL;2;4;A8;Z;11. Feb;08. May;10;28;230
BMW;X3 xDRIVE35i;SUV - SMALL;3;6;A8;Z;12. Jun;09. Jan;11;26;253
BMW;X5 xDRIVE35i;SUV - STANDARD;3;6;A8;Z;12. Sep;08. Aug;11. Jan;25;255
BMW;X5 xDRIVE50i;SUV - STANDARD;04. Apr;8;A8;Z;16. Mar;10. Sep;13. Sep;20;320
BMW;X6 M;SUV - STANDARD;04. Apr;8;A6;Z;18. Jan;13. Jul;16. Jan;18;370
BMW;X6 xDRIVE35i;SUV - STANDARD;3;6;A8;Z;13. Jun;09. Aug;11. Sep;24;274
BMW;X6 xDRIVE50i;SUV - STANDARD;04. Apr;8;A8;Z;16. Apr;11. Mar;14. Jan;20;324
BMW;Z4 sDRIVE28i;TWO-SEATER;2;4;A8;Z;10. Aug;07. Jan;09. Jan;31;209
BMW;Z4 sDRIVE28i;TWO-SEATER;2;4;M6;Z;10. Apr;06. Jul;08. Jul;32;200
BMW;Z4 sDRIVE35i;TWO-SEATER;3;6;AM7;Z;13. Jul;10. Jan;12. Jan;23;278
BMW;Z4 sDRIVE35i;TWO-SEATER;3;6;M6;Z;12. Jul;9;11;26;253
BMW;Z4 sDRIVE35is;TWO-SEATER;3;6;AM7;Z;13. Jul;10. Jan;12. Jan;23;278
BUICK;ENCLAVE;SUV - STANDARD;03. Jun;6;A6;X;14. Mar;09. Sep;12. Mar;23;283
BUICK;ENCLAVE AWD;SUV - STANDARD;03. Jun;6;A6;X;14. Jun;10. Feb;12. Jun;22;290
BUICK;ENCORE;SUV - SMALL;01. Apr;4;AS6;X;09. May;07. Feb;08. May;33;196
BUICK;ENCORE AWD;SUV - SMALL;01. Apr;4;AS6;X;10. Feb;8;09. Feb;31;212
BUICK;LACROSSE;MID-SIZE;03. Jun;6;AS6;X;13. Jul;08. Jul;11. May;25;264
BUICK;LACROSSE;MID-SIZE;03. Jun;6;AS6;E;18. Apr;12. Feb;15. Jun;18;250
BUICK;LACROSSE AWD;MID-SIZE;03. Jun;6;AS6;X;13. Jul;08. Sep;11. May;25;264
BUICK;LACROSSE AWD;MID-SIZE;03. Jun;6;AS6;E;19. Apr;13;16. May;17;264
BUICK;LACROSSE eASSIST;MID-SIZE;02. Apr;4;AS6;X;09. Jun;06. May;08. Feb;34;189
BUICK;REGAL;MID-SIZE;2;4;AS6;Z;11. May;07. Sep;09. Sep;29;228
BUICK;REGAL;MID-SIZE;2;4;M6;Z;11. Jun;07. May;09. Aug;29;225
BUICK;REGAL AWD;MID-SIZE;2;4;AS6;Z;12. Mar;08. Jul;10. Jul;26;246
BUICK;REGAL eASSIST;MID-SIZE;02. Apr;4;AS6;X;09. Jun;06. May;08. Feb;34;189
BUICK;VERANO;COMPACT;2;4;AS6;Z;11. May;07. Sep;09. Sep;29;228
BUICK;VERANO;COMPACT;2;4;M6;Z;11. Jun;07. May;09. Aug;29;225
BUICK;VERANO;COMPACT;02. Apr;4;AS6;X;11. Mar;07. Apr;09. May;30;218
CADILLAC;ATS;COMPACT;2;4;AS6;Z;11. Mar;07. May;09. Jun;29;221
CADILLAC;ATS;COMPACT;2;4;M6;Z;12. Jan;07. Sep;10. Feb;28;235
CADILLAC;ATS;COMPACT;02. May;4;AS6;X;10. May;07. Feb;9;31;207
CADILLAC;ATS;COMPACT;03. Jun;6;AS6;X;12. Aug;08. May;10. Sep;26;251
CADILLAC;ATS AWD;COMPACT;2;4;AS6;Z;11. Aug;08. Jan;10. Jan;28;232
CADILLAC;ATS AWD;COMPACT;03. Jun;6;AS6;X;13. Jan;9;11. Mar;25;260
CADILLAC;CTS COUPE;MID-SIZE;03. Jun;6;AS6;X;13. Feb;08. Jul;11. Feb;25;258
CADILLAC;CTS COUPE AWD;MID-SIZE;03. Jun;6;AS6;X;13. Mar;9;11. Apr;25;262
CADILLAC;CTS SEDAN;MID-SIZE;2;4;AS6;Z;11. Sep;07. Sep;10. Jan;28;232
CADILLAC;CTS SEDAN;MID-SIZE;03. Jun;6;AS8;X;12. Sep;08. Feb;10. Aug;26;248
CADILLAC;CTS SEDAN AWD;MID-SIZE;2;4;AS6;Z;12. Jun;08. May;10. Aug;26;248
CADILLAC;CTS SEDAN AWD;MID-SIZE;03. Jun;6;AS6;X;13. Jan;9;11. Mar;25;260
CADILLAC;CTS SEDAN Vsport;MID-SIZE;03. Jun;6;AS8;Z;15. Jan;09. Sep;12. Aug;22;294
CADILLAC;CTS SPORT WAGON;STATION WAGON - SMALL;3;6;AS6;X;12. Jul;08. Sep;11;26;253
CADILLAC;CTS SPORT WAGON;STATION WAGON - SMALL;03. Jun;6;AS6;X;13. Mar;08. Sep;11. Mar;25;260
CADILLAC;CTS SPORT WAGON AWD;STATION WAGON - SMALL;3;6;AS6;X;12. Aug;09. Jan;11. Jan;25;255
CADILLAC;CTS SPORT WAGON AWD;STATION WAGON - SMALL;03. Jun;6;AS6;X;13. Mar;9;11. Apr;25;262
CADILLAC;CTS-V COUPE;MID-SIZE;06. Feb;8;AS6;Z;19. Jul;12. Sep;16. Jun;17;382
CADILLAC;CTS-V COUPE;MID-SIZE;06. Feb;8;M6;Z;16. Jul;12. May;14. Aug;19;340
CADILLAC;CTS-V SEDAN;MID-SIZE;06. Feb;8;AS6;Z;19. Jul;12. Sep;16. Jun;17;382
CADILLAC;CTS-V SEDAN;MID-SIZE;06. Feb;8;M6;Z;16. Jul;12. May;14. Aug;19;340
CADILLAC;CTS-V SPORT WAGON;STATION WAGON - SMALL;06. Feb;8;AS6;Z;19. Jul;12. Sep;16. Jun;17;382
CADILLAC;CTS-V SPORT WAGON;STATION WAGON - SMALL;06. Feb;8;M6;Z;16. Jul;12. May;14. Aug;19;340
CADILLAC;ESCALADE AWD;SUV - STANDARD;06. Feb;8;A6;Z;17;11. Aug;14. Jul;19;338
CADILLAC;ESCALADE AWD;SUV - STANDARD;06. Feb;8;A6;E;23. Mar;16. Jan;20. Jan;14;322
CADILLAC;ESCALADE ESV AWD;SUV - STANDARD;06. Feb;8;A6;Z;18. Aug;13. Apr;16. Apr;17;377
CADILLAC;ESCALADE ESV AWD;SUV - STANDARD;06. Feb;8;A6;E;25. Jul;17. Aug;22. Jan;13;354
CADILLAC;SRX;SUV - STANDARD;03. Jun;6;AS6;X;14. Mar;09. Aug;12. Mar;23;283
CADILLAC;SRX AWD;SUV - STANDARD;03. Jun;6;AS6;X;14. Aug;10. Apr;12. Aug;22;294
CADILLAC;XTS;FULL-SIZE;03. Jun;6;AS6;X;13. Jun;08. Jun;11. Apr;25;262
CADILLAC;XTS AWD;FULL-SIZE;03. Jun;6;AS6;X;14;09. Jan;11. Aug;24;271
CADILLAC;XTS Vsport AWD;FULL-SIZE;03. Jun;6;AS6;Z;14. Aug;09. Aug;12. Jun;22;290
CHEVROLET;CAMARO;COMPACT;03. Jun;6;AS6;X;13. Feb;08. Jul;11. Feb;25;258
CHEVROLET;CAMARO;COMPACT;03. Jun;6;M6;X;14. Feb;08. Jun;11. Jul;24;269
CHEVROLET;CAMARO 2LS;COMPACT;03. Jun;6;AS6;X;12. Jul;07. Sep;10. May;27;242
CHEVROLET;CAMARO SS;COMPACT;06. Feb;8;AS6;Z;15. Mar;09. Aug;12. Aug;22;294
CHEVROLET;CAMARO SS;COMPACT;06. Feb;8;M6;Z;15;09. Sep;12. Jul;22;292
CHEVROLET;CAMARO ZL1;COMPACT;06. Feb;8;AS6;Z;19. Jul;12. Sep;16. Jun;17;382
CHEVROLET;CAMARO ZL1;COMPACT;06. Feb;8;M6;Z;16. Jul;12. May;14. Aug;19;340
CHEVROLET;CORVETTE;TWO-SEATER;06. Feb;8;AS6;Z;14. Sep;08. May;12;24;276
CHEVROLET;CORVETTE;TWO-SEATER;06. Feb;8;M7;Z;13. Jul;08. Feb;11. Feb;25;258
CHEVROLET;CRUZE;MID-SIZE;01. Apr;4;AS6;X;09. Jan;06. Mar;07. Aug;36;179
CHEVROLET;CRUZE;MID-SIZE;01. Apr;4;M6;X;09. Jan;06. Mar;07. Aug;36;179
CHEVROLET;CRUZE;MID-SIZE;01. Aug;4;AS6;X;10. May;06. Jul;08. Aug;32;202
CHEVROLET;CRUZE;MID-SIZE;01. Aug;4;M6;X;09. May;06. May;08. Feb;34;189
CHEVROLET;CRUZE DIESEL;MID-SIZE;2;4;AS6;D;08. Jul;05. Jan;07. Jan;40;192
CHEVROLET;CRUZE ECO;MID-SIZE;01. Apr;4;A6;X;09. Jan;6;07. Jul;37;177
CHEVROLET;CRUZE ECO;MID-SIZE;01. Apr;4;M6;X;08. Apr;05. Jun;07. Jan;40;163
CHEVROLET;EQUINOX;SUV - SMALL;02. Apr;4;A6;X;10. May;07. Mar;09. Jan;31;209
CHEVROLET;EQUINOX;SUV - SMALL;03. Jun;6;A6;X;13. Sep;09. Jun;12;24;276
CHEVROLET;EQUINOX;SUV - SMALL;03. Jun;6;A6;E;18. Aug;13. Jan;16. Feb;17;259
CHEVROLET;EQUINOX AWD;SUV - SMALL;02. Apr;4;A6;X;11. May;08. Feb;10;28;230
CHEVROLET;EQUINOX AWD;SUV - SMALL;03. Jun;6;A6;X;14. Aug;09. Sep;12. Jun;22;290
CHEVROLET;EQUINOX AWD;SUV - SMALL;03. Jun;6;A6;E;19. Aug;13. Jun;17;17;272
CHEVROLET;EXPRESS 1500 CARGO;VAN - CARGO;04. Mar;6;A4;X;17. Jan;12. Jul;15. Jan;19;347
CHEVROLET;EXPRESS 1500 CARGO;VAN - CARGO;05. Mar;8;A4;X;18;13. Apr;15. Sep;18;366
CHEVROLET;EXPRESS 1500 CARGO;VAN - CARGO;05. Mar;8;A4;E;23. May;17. Jul;20. Sep;14;334
CHEVROLET;EXPRESS 1500 CARGO AWD;VAN - CARGO;05. Mar;8;A4;X;18. Mar;14. Feb;16. May;17;380
CHEVROLET;EXPRESS 1500 CARGO AWD;VAN - CARGO;05. Mar;8;A4;E;23. Jul;18. Aug;21. May;13;344
CHEVROLET;EXPRESS 1500 CARGO CONV;VAN - CARGO;05. Mar;8;A4;X;18. Jun;13. Sep;16. May;17;380
CHEVROLET;EXPRESS 1500 CARGO CONV;VAN - CARGO;05. Mar;8;A4;E;23. Sep;18. May;21. May;13;344
CHEVROLET;EXPRESS 1500 CARGO CONV AWD;VAN - CARGO;05. Mar;8;A4;X;18. Mar;14. Feb;16. May;17;380
CHEVROLET;EXPRESS 1500 CARGO CONV AWD;VAN - CARGO;05. Mar;8;A4;E;25. Mar;19. Mar;22. Jun;12;362
CHEVROLET;EXPRESS 1500 PASSENGER;VAN - PASSENGER;05. Mar;8;A4;X;18. Jun;13. Sep;16. May;17;380
CHEVROLET;EXPRESS 1500 PASSENGER;VAN - PASSENGER;05. Mar;8;A4;E;23. Sep;18. May;21. May;13;344
CHEVROLET;EXPRESS 1500 PASSENGER AWD;VAN - PASSENGER;05. Mar;8;A4;X;18. Mar;14. Feb;16. May;17;380
CHEVROLET;EXPRESS 1500 PASSENGER AWD;VAN - PASSENGER;05. Mar;8;A4;E;25. Mar;19. Mar;22. Jun;12;362
CHEVROLET;EXPRESS 2500 PASSENGER;VAN - PASSENGER;04. Aug;8;A6;X;21. Jan;14. Feb;18;16;414
CHEVROLET;EXPRESS 2500 PASSENGER;VAN - PASSENGER;6;8;A6;X;21. Sep;15;18. Aug;15;432
CHEVROLET;EXPRESS 2500 PASSENGER;VAN - PASSENGER;6;8;A6;E;30;20. Apr;25. Jul;11;411
CHEVROLET;EXPRESS 3500 PASSENGER;VAN - PASSENGER;04. Aug;8;A6;X;21. Mar;14. Mar;18. Feb;16;419
CHEVROLET;EXPRESS 3500 PASSENGER;VAN - PASSENGER;6;8;A6;X;22. Jan;15;18. Sep;15;435
CHEVROLET;EXPRESS 3500 PASSENGER;VAN - PASSENGER;6;8;A6;E;30.2;20. May;25. Aug;11;413
CHEVROLET;IMPALA;FULL-SIZE;02. May;4;AS6;X;11. Mar;07. May;09. Jun;29;221
CHEVROLET;IMPALA;FULL-SIZE;03. Jun;6;AS6;X;12. Jun;08. Feb;10. Jun;27;244
CHEVROLET;IMPALA;FULL-SIZE;03. Jun;6;AS6;E;16. Jul;11. Mar;14. Mar;20;229
CHEVROLET;IMPALA ECO;FULL-SIZE;02. Apr;4;AS6;X;10;7;08. Jul;32;200
CHEVROLET;MALIBU;MID-SIZE;2;4;AS6;Z;11. May;07. Sep;09. Sep;29;228
CHEVROLET;MALIBU;MID-SIZE;02. May;4;AS6;X;09. Mar;06. Apr;8;35;184
CHEVROLET;ORLANDO;SUV - SMALL;02. Apr;4;AS6;X;12. Feb;08. Jun;10. Jun;27;244
CHEVROLET;ORLANDO;SUV - SMALL;02. Apr;4;M6;X;11. Aug;08. Mar;10. Feb;28;235
CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;04. Mar;6;A6;X;13. Apr;09. Sep;11. Aug;24;271
CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;04. Mar;6;A6;E;18. Sep;14. Feb;16. Aug;17;269
CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;05. Mar;8;A6;X;14. Jun;10. Mar;12. Jul;22;292
CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;05. Mar;8;A6;E;19. May;13. Jul;16. Sep;17;270
CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;06. Feb;8;A6;Z;16. Mar;11. Apr;14. Jan;20;324
CHEVROLET;SILVERADO 4WD;PICKUP TRUCK - STANDARD;04. Mar;6;A6;X;14. Feb;10. Jun;12. Jun;22;290
